Occupation,Code,Vulnerability_Median_2024,Vulnerability_p05_2024,Vulnerability_p95_2024,Vulnerability_Median_2025,Vulnerability_p05_2025,Vulnerability_p95_2025,Vulnerability_Median_2026,Vulnerability_p05_2026,Vulnerability_p95_2026,Vulnerability_Median_2027,Vulnerability_p05_2027,Vulnerability_p95_2027,Vulnerability_Median_2028,Vulnerability_p05_2028,Vulnerability_p95_2028,Vulnerability_Median_2029,Vulnerability_p05_2029,Vulnerability_p95_2029,Vulnerability_Median_2030,Vulnerability_p05_2030,Vulnerability_p95_2030,Vulnerability_Median_2031,Vulnerability_p05_2031,Vulnerability_p95_2031,Vulnerability_Median_2032,Vulnerability_p05_2032,Vulnerability_p95_2032,Vulnerability_Median_2033,Vulnerability_p05_2033,Vulnerability_p95_2033,Vulnerability_Median_2034,Vulnerability_p05_2034,Vulnerability_p95_2034,Vulnerability_Median_2035,Vulnerability_p05_2035,Vulnerability_p95_2035,Country,Capacity_Score,Adoption_Multiplier,Adjusted_Vulnerability_Median_2024,Adjusted_Vulnerability_p05_2024,Adjusted_Vulnerability_p95_2024,Adjusted_Vulnerability_Median_2025,Adjusted_Vulnerability_p05_2025,Adjusted_Vulnerability_p95_2025,Adjusted_Vulnerability_Median_2026,Adjusted_Vulnerability_p05_2026,Adjusted_Vulnerability_p95_2026,Adjusted_Vulnerability_Median_2027,Adjusted_Vulnerability_p05_2027,Adjusted_Vulnerability_p95_2027,Adjusted_Vulnerability_Median_2028,Adjusted_Vulnerability_p05_2028,Adjusted_Vulnerability_p95_2028,Adjusted_Vulnerability_Median_2029,Adjusted_Vulnerability_p05_2029,Adjusted_Vulnerability_p95_2029,Adjusted_Vulnerability_Median_2030,Adjusted_Vulnerability_p05_2030,Adjusted_Vulnerability_p95_2030,Adjusted_Vulnerability_Median_2031,Adjusted_Vulnerability_p05_2031,Adjusted_Vulnerability_p95_2031,Adjusted_Vulnerability_Median_2032,Adjusted_Vulnerability_p05_2032,Adjusted_Vulnerability_p95_2032,Adjusted_Vulnerability_Median_2033,Adjusted_Vulnerability_p05_2033,Adjusted_Vulnerability_p95_2033,Adjusted_Vulnerability_Median_2034,Adjusted_Vulnerability_p05_2034,Adjusted_Vulnerability_p95_2034,Adjusted_Vulnerability_Median_2035,Adjusted_Vulnerability_p05_2035,Adjusted_Vulnerability_p95_2035
Accountants and Auditors,13-2011.00,0.6584632558139536,0.6584632558139536,0.6584632558139536,0.7121423255813955,0.6986678303032725,0.7121423255813955,0.7085816139534885,0.7085816139534885,0.7085816139534885,0.7050387058837211,0.7050387058837211,0.7050387058837211,0.7015135123543024,0.7015135123543024,0.7015135123543024,0.6980059447925309,0.6980059447925309,0.6980059447925309,0.6945159150685682,0.6945159150685682,0.6945159150685682,0.6910433354932254,0.6910433354932254,0.6910433354932254,0.6875881188157592,0.6875881188157592,0.6875881188157592,0.6841501782216804,0.6841501782216804,0.6841501782216804,0.6807294273305721,0.6807294273305721,0.6807294273305721,0.6773257801939192,0.6773257801939192,0.6773257801939192,India,0.5231498010636668,0.9346859838242358,0.6584632558139536,0.6584632558139536,0.6584632558139536,0.7121423255813955,0.6986678303032725,0.7121423255813955,0.7085816139534885,0.7085816139534885,0.7085816139534885,0.7050387058837211,0.7050387058837211,0.7050387058837211,0.7015135123543024,0.7015135123543024,0.7015135123543024,0.6980059447925309,0.6980059447925309,0.6980059447925309,0.6945159150685682,0.6945159150685682,0.6945159150685682,0.6910433354932254,0.6910433354932254,0.6910433354932254,0.6910433354932254,0.6910433354932254,0.6910433354932254,0.6875881188157592,0.6875881188157592,0.6875881188157592,0.6841501782216804,0.6841501782216804,0.6841501782216804,0.6807294273305721,0.6807294273305721,0.6807294273305721
Actors,27-2011.00,0.6423926511627907,0.6423926511627907,0.6423926511627907,0.6936306976744185,0.6804719009465432,0.6936306976744185,0.6901625441860465,0.6901625441860465,0.6901625441860465,0.6867117314651162,0.6867117314651162,0.6867117314651162,0.6832781728077906,0.6832781728077906,0.6832781728077906,0.6798617819437517,0.6798617819437517,0.6798617819437517,0.676462473034033,0.676462473034033,0.676462473034033,0.6730801606688627,0.6730801606688627,0.6730801606688627,0.6697147598655184,0.6697147598655184,0.6697147598655184,0.6663661860661908,0.6663661860661908,0.6663661860661908,0.6630343551358598,0.6630343551358598,0.6630343551358598,0.6597191833601805,0.6597191833601805,0.6597191833601805,India,0.5231498010636668,0.9346859838242358,0.6423926511627907,0.6423926511627907,0.6423926511627907,0.6936306976744185,0.6804719009465432,0.6936306976744185,0.6901625441860465,0.6901625441860465,0.6901625441860465,0.6867117314651162,0.6867117314651162,0.6867117314651162,0.6832781728077906,0.6832781728077906,0.6832781728077906,0.6798617819437517,0.6798617819437517,0.6798617819437517,0.676462473034033,0.676462473034033,0.676462473034033,0.6730801606688627,0.6730801606688627,0.6730801606688627,0.6730801606688627,0.6730801606688627,0.6730801606688627,0.6697147598655184,0.6697147598655184,0.6697147598655184,0.6663661860661908,0.6663661860661908,0.6663661860661908,0.6630343551358598,0.6630343551358598,0.6630343551358598
Actuaries,15-2011.00,0.7640330930232558,0.7640330930232558,0.7640330930232558,0.8121513953488372,0.7981571109569352,0.8121513953488372,0.808090638372093,0.808090638372093,0.808090638372093,0.8040501851802325,0.8040501851802325,0.8040501851802325,0.8000299342543313,0.8000299342543313,0.8000299342543313,0.7960297845830597,0.7960297845830597,0.7960297845830597,0.7920496356601444,0.7920496356601444,0.7920496356601444,0.7880893874818437,0.7880893874818437,0.7880893874818437,0.7841489405444345,0.7841489405444345,0.7841489405444345,0.7802281958417122,0.7802281958417122,0.7802281958417122,0.7763270548625038,0.7763270548625038,0.7763270548625038,0.7724454195881911,0.7724454195881911,0.7724454195881911,India,0.5231498010636668,0.9346859838242358,0.7640330930232558,0.7640330930232558,0.7640330930232558,0.8121513953488372,0.7981571109569352,0.8121513953488372,0.808090638372093,0.808090638372093,0.808090638372093,0.8040501851802325,0.8040501851802325,0.8040501851802325,0.8000299342543313,0.8000299342543313,0.8000299342543313,0.7960297845830597,0.7960297845830597,0.7960297845830597,0.7920496356601444,0.7920496356601444,0.7920496356601444,0.7880893874818437,0.7880893874818437,0.7880893874818437,0.7880893874818437,0.7880893874818437,0.7880893874818437,0.7841489405444345,0.7841489405444345,0.7841489405444345,0.7802281958417122,0.7802281958417122,0.7802281958417122,0.7763270548625038,0.7763270548625038,0.7763270548625038
Acupuncturists,29-1291.00,0.6509647441860466,0.6509647441860466,0.6509647441860466,0.7028865116279069,0.6895567298126388,0.7028865116279069,0.6993720790697675,0.6993720790697675,0.6993720790697675,0.6958752186744186,0.6958752186744186,0.6958752186744186,0.6923958425810465,0.6923958425810465,0.6923958425810465,0.6889338633681412,0.6889338633681412,0.6889338633681412,0.6854891940513006,0.6854891940513006,0.6854891940513006,0.682061748081044,0.682061748081044,0.682061748081044,0.6786514393406389,0.6786514393406389,0.6786514393406389,0.6752581821439356,0.6752581821439356,0.6752581821439356,0.671881891233216,0.671881891233216,0.671881891233216,0.6685224817770499,0.6685224817770499,0.6685224817770499,India,0.5231498010636668,0.9346859838242358,0.6509647441860466,0.6509647441860466,0.6509647441860466,0.7028865116279069,0.6895567298126388,0.7028865116279069,0.6993720790697675,0.6993720790697675,0.6993720790697675,0.6958752186744186,0.6958752186744186,0.6958752186744186,0.6923958425810465,0.6923958425810465,0.6923958425810465,0.6889338633681412,0.6889338633681412,0.6889338633681412,0.6854891940513006,0.6854891940513006,0.6854891940513006,0.682061748081044,0.682061748081044,0.682061748081044,0.682061748081044,0.682061748081044,0.682061748081044,0.6786514393406389,0.6786514393406389,0.6786514393406389,0.6752581821439356,0.6752581821439356,0.6752581821439356,0.671881891233216,0.671881891233216,0.671881891233216
Acute Care Nurses,29-1141.01,0.7300948837209302,0.7300948837209302,0.7300948837209302,0.789613488372093,0.7746731557469738,0.789613488372093,0.7856654209302326,0.7856654209302326,0.7856654209302326,0.7817370938255814,0.7817370938255814,0.7817370938255814,0.7778284083564534,0.7778284083564534,0.7778284083564534,0.7739392663146712,0.7739392663146712,0.7739392663146712,0.7700695699830978,0.7700695699830978,0.7700695699830978,0.7662192221331823,0.7662192221331823,0.7662192221331823,0.7623881260225164,0.7623881260225164,0.7623881260225164,0.7585761853924038,0.7585761853924038,0.7585761853924038,0.7547833044654418,0.7547833044654418,0.7547833044654418,0.7510093879431146,0.7510093879431146,0.7510093879431146,India,0.5231498010636668,0.9346859838242358,0.7300948837209302,0.7300948837209302,0.7300948837209302,0.789613488372093,0.7746731557469738,0.789613488372093,0.7856654209302326,0.7856654209302326,0.7856654209302326,0.7817370938255814,0.7817370938255814,0.7817370938255814,0.7778284083564534,0.7778284083564534,0.7778284083564534,0.7739392663146712,0.7739392663146712,0.7739392663146712,0.7700695699830978,0.7700695699830978,0.7700695699830978,0.7662192221331823,0.7662192221331823,0.7662192221331823,0.7662192221331823,0.7662192221331823,0.7662192221331823,0.7623881260225164,0.7623881260225164,0.7623881260225164,0.7585761853924038,0.7585761853924038,0.7585761853924038,0.7547833044654418,0.7547833044654418,0.7547833044654418
Adapted Physical Education Specialists,25-2059.01,0.6675517441860465,0.6675517441860465,0.6675517441860465,0.7207965116279069,0.7081169920510436,0.7207965116279069,0.7171925290697674,0.7171925290697674,0.7171925290697674,0.7136065664244186,0.7136065664244186,0.7136065664244186,0.7100385335922964,0.7100385335922964,0.7100385335922964,0.7064883409243349,0.7064883409243349,0.7064883409243349,0.7029558992197132,0.7029558992197132,0.7029558992197132,0.6994411197236147,0.6994411197236147,0.6994411197236147,0.6959439141249966,0.6959439141249966,0.6959439141249966,0.6924641945543716,0.6924641945543716,0.6924641945543716,0.6890018735815998,0.6890018735815998,0.6890018735815998,0.6855568642136918,0.6855568642136918,0.6855568642136918,India,0.5231498010636668,0.9346859838242358,0.6675517441860465,0.6675517441860465,0.6675517441860465,0.7207965116279069,0.7081169920510436,0.7207965116279069,0.7171925290697674,0.7171925290697674,0.7171925290697674,0.7136065664244186,0.7136065664244186,0.7136065664244186,0.7100385335922964,0.7100385335922964,0.7100385335922964,0.7064883409243349,0.7064883409243349,0.7064883409243349,0.7029558992197132,0.7029558992197132,0.7029558992197132,0.6994411197236147,0.6994411197236147,0.6994411197236147,0.6994411197236147,0.6994411197236147,0.6994411197236147,0.6959439141249966,0.6959439141249966,0.6959439141249966,0.6924641945543716,0.6924641945543716,0.6924641945543716,0.6890018735815998,0.6890018735815998,0.6890018735815998
Adhesive Bonding Machine Operators and Tenders,51-9191.00,0.6285097674418606,0.6285097674418606,0.6285097674418606,0.6797469767441862,0.6669034121986981,0.6797469767441862,0.6763482418604653,0.6763482418604653,0.6763482418604653,0.6729665006511629,0.6729665006511629,0.6729665006511629,0.669601668147907,0.669601668147907,0.669601668147907,0.6662536598071676,0.6662536598071676,0.6662536598071676,0.6629223915081317,0.6629223915081317,0.6629223915081317,0.659607779550591,0.659607779550591,0.659607779550591,0.656309740652838,0.656309740652838,0.656309740652838,0.6530281919495738,0.6530281919495738,0.6530281919495738,0.649763050989826,0.649763050989826,0.649763050989826,0.6465142357348769,0.6465142357348769,0.6465142357348769,India,0.5231498010636668,0.9346859838242358,0.6285097674418606,0.6285097674418606,0.6285097674418606,0.6797469767441862,0.6669034121986981,0.6797469767441862,0.6763482418604653,0.6763482418604653,0.6763482418604653,0.6729665006511629,0.6729665006511629,0.6729665006511629,0.669601668147907,0.669601668147907,0.669601668147907,0.6662536598071676,0.6662536598071676,0.6662536598071676,0.6629223915081317,0.6629223915081317,0.6629223915081317,0.659607779550591,0.659607779550591,0.659607779550591,0.659607779550591,0.659607779550591,0.659607779550591,0.656309740652838,0.656309740652838,0.656309740652838,0.6530281919495738,0.6530281919495738,0.6530281919495738,0.649763050989826,0.649763050989826,0.649763050989826
"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021.00,0.7864466744186046,0.7864466744186046,0.7864466744186046,0.8491746511627907,0.8330706107013504,0.8491746511627907,0.8449287779069767,0.8449287779069767,0.8449287779069767,0.8407041340174418,0.8407041340174418,0.8407041340174418,0.8365006133473546,0.8365006133473546,0.8365006133473546,0.8323181102806179,0.8323181102806179,0.8323181102806179,0.8281565197292148,0.8281565197292148,0.8281565197292148,0.8240157371305686,0.8240157371305686,0.8240157371305686,0.8198956584449159,0.8198956584449159,0.8198956584449159,0.8157961801526912,0.8157961801526912,0.8157961801526912,0.8117171992519278,0.8117171992519278,0.8117171992519278,0.8076586132556681,0.8076586132556681,0.8076586132556681,India,0.5231498010636668,0.9346859838242358,0.7864466744186046,0.7864466744186046,0.7864466744186046,0.8491746511627907,0.8330706107013504,0.8491746511627907,0.8449287779069767,0.8449287779069767,0.8449287779069767,0.8407041340174418,0.8407041340174418,0.8407041340174418,0.8365006133473546,0.8365006133473546,0.8365006133473546,0.8323181102806179,0.8323181102806179,0.8323181102806179,0.8281565197292148,0.8281565197292148,0.8281565197292148,0.8240157371305686,0.8240157371305686,0.8240157371305686,0.8240157371305686,0.8240157371305686,0.8240157371305686,0.8198956584449159,0.8198956584449159,0.8198956584449159,0.8157961801526912,0.8157961801526912,0.8157961801526912,0.8117171992519278,0.8117171992519278,0.8117171992519278
Administrative Services Managers,11-3012.00,0.6589796511627907,0.6589796511627907,0.6589796511627907,0.7115406976744185,0.6980775858404479,0.7115406976744185,0.7079829941860465,0.7079829941860465,0.7079829941860465,0.7044430792151162,0.7044430792151162,0.7044430792151162,0.7009208638190406,0.7009208638190406,0.7009208638190406,0.6974162594999455,0.6974162594999455,0.6974162594999455,0.6939291782024457,0.6939291782024457,0.6939291782024457,0.6904595323114334,0.6904595323114334,0.6904595323114334,0.6870072346498762,0.6870072346498762,0.6870072346498762,0.6835721984766269,0.6835721984766269,0.6835721984766269,0.6801543374842438,0.6801543374842438,0.6801543374842438,0.6767535657968226,0.6767535657968226,0.6767535657968226,India,0.5231498010636668,0.9346859838242358,0.6589796511627907,0.6589796511627907,0.6589796511627907,0.7115406976744185,0.6980775858404479,0.7115406976744185,0.7079829941860465,0.7079829941860465,0.7079829941860465,0.7044430792151162,0.7044430792151162,0.7044430792151162,0.7009208638190406,0.7009208638190406,0.7009208638190406,0.6974162594999455,0.6974162594999455,0.6974162594999455,0.6939291782024457,0.6939291782024457,0.6939291782024457,0.6904595323114334,0.6904595323114334,0.6904595323114334,0.6904595323114334,0.6904595323114334,0.6904595323114334,0.6870072346498762,0.6870072346498762,0.6870072346498762,0.6835721984766269,0.6835721984766269,0.6835721984766269,0.6801543374842438,0.6801543374842438,0.6801543374842438
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011.00,0.691026976744186,0.691026976744186,0.691026976744186,0.7473606976744186,0.7329609229445304,0.7473606976744186,0.7436238941860465,0.7436238941860465,0.7436238941860465,0.7399057747151163,0.7399057747151163,0.7399057747151163,0.7362062458415406,0.7362062458415406,0.7362062458415406,0.732525214612333,0.732525214612333,0.732525214612333,0.7288625885392713,0.7288625885392713,0.7288625885392713,0.7252182755965749,0.7252182755965749,0.7252182755965749,0.7215921842185921,0.7215921842185921,0.7215921842185921,0.717984223297499,0.717984223297499,0.717984223297499,0.7143943021810116,0.7143943021810116,0.7143943021810116,0.7108223306701065,0.7108223306701065,0.7108223306701065,India,0.5231498010636668,0.9346859838242358,0.691026976744186,0.691026976744186,0.691026976744186,0.7473606976744186,0.7329609229445304,0.7473606976744186,0.7436238941860465,0.7436238941860465,0.7436238941860465,0.7399057747151163,0.7399057747151163,0.7399057747151163,0.7362062458415406,0.7362062458415406,0.7362062458415406,0.732525214612333,0.732525214612333,0.732525214612333,0.7288625885392713,0.7288625885392713,0.7288625885392713,0.7252182755965749,0.7252182755965749,0.7252182755965749,0.7252182755965749,0.7252182755965749,0.7252182755965749,0.7215921842185921,0.7215921842185921,0.7215921842185921,0.717984223297499,0.717984223297499,0.717984223297499,0.7143943021810116,0.7143943021810116,0.7143943021810116
