Importance,Level,Job Zone,Code,Occupation
81,70,5,11-1011.00,Chief Executives
78,59,3,35-1011.00,Chefs and Head Cooks
78,57,4,11-3121.00,Human Resources Managers
75,71,4,11-9161.00,Emergency Management Directors
75,64,4,11-9021.00,Construction Managers
75,64,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
75,64,5,29-1229.05,Preventive Medicine Physicians
75,61,4,27-2012.03,Media Programming Directors
75,59,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
75,59,5,29-1214.00,Emergency Medicine Physicians
75,59,4,15-1299.09,Information Technology Project Managers
75,57,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
75,57,3,33-1011.00,First-Line Supervisors of Correctional Officers
75,57,5,21-1022.00,Healthcare Social Workers
75,57,4,11-3051.00,Industrial Production Managers
75,57,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
75,57,4,27-2012.05,Media Technical Directors/Managers
75,57,4,39-9032.00,Recreation Workers
75,57,4,29-1141.00,Registered Nurses
75,57,3,11-9179.02,Spa Managers
75,57,4,11-3071.04,Supply Chain Managers
75,55,4,29-1141.01,Acute Care Nurses
75,55,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
75,55,4,29-1125.00,Recreational Therapists
75,54,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
75,50,2,11-9131.00,Postmasters and Mail Superintendents
72,64,4,27-2012.00,Producers and Directors
72,61,4,13-1081.00,Logisticians
72,59,4,11-9121.01,Clinical Research Coordinators
72,59,4,27-2022.00,Coaches and Scouts
72,59,4,11-9111.00,Medical and Health Services Managers
72,59,4,11-3013.01,Security Managers
72,57,3,53-2021.00,Air Traffic Controllers
72,57,3,27-2032.00,Choreographers
72,57,5,29-1141.04,Clinical Nurse Specialists
72,57,4,29-1141.03,Critical Care Nurses
72,57,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
72,57,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
72,57,2,33-1012.00,First-Line Supervisors of Police and Detectives
72,57,4,11-1021.00,General and Operations Managers
72,57,5,29-1229.02,Hospitalists
72,57,4,13-1111.00,Management Analysts
72,57,4,13-1121.00,"Meeting, Convention, and Event Planners"
72,57,5,21-1023.00,Mental Health and Substance Abuse Social Workers
72,57,4,27-3031.00,Public Relations Specialists
72,57,4,11-9151.00,Social and Community Service Managers
72,55,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
72,55,2,11-9051.00,Food Service Managers
72,55,5,25-9031.00,Instructional Coordinators
72,55,5,29-1218.00,Obstetricians and Gynecologists
72,55,5,29-1023.00,Orthodontists
72,55,5,29-1223.00,Psychiatrists
72,55,4,25-2057.00,"Special Education Teachers, Middle School"
72,55,4,25-2058.00,"Special Education Teachers, Secondary School"
72,54,4,25-2021.00,"Elementary School Teachers, Except Special Education"
72,54,4,11-9081.00,Lodging Managers
72,54,5,29-1161.00,Nurse Midwives
72,54,4,11-3131.00,Training and Development Managers
72,52,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
72,50,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
72,48,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
72,48,3,29-2099.08,Patient Representatives
72,46,3,29-2053.00,Psychiatric Technicians
69,59,5,11-9041.00,Architectural and Engineering Managers
69,59,5,19-1041.00,Epidemiologists
69,59,2,11-9071.00,Gambling Managers
69,57,3,53-2022.00,Airfield Operations Specialists
69,57,4,11-3051.04,Biomass Power Plant Managers
69,57,4,13-1199.04,Business Continuity Planners
69,57,5,29-1021.00,"Dentists, General"
69,57,5,19-3032.00,Industrial-Organizational Psychologists
