Importance,Level,Job Zone,Code,Occupation
69,43,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
66,39,3,49-9097.00,Signal and Track Switch Repairers
60,46,3,47-4021.00,Elevator and Escalator Installers and Repairers
60,46,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
60,43,3,49-3011.00,Aircraft Mechanics and Service Technicians
60,37,2,49-3091.00,Bicycle Repairers
56,43,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
56,43,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
56,39,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
53,59,4,17-2199.08,Robotics Engineers
53,46,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
53,46,3,17-3024.01,Robotics Technicians
53,45,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
53,45,3,49-9041.00,Industrial Machinery Mechanics
53,45,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
53,43,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
53,43,3,51-4111.00,Tool and Die Makers
53,39,2,47-5081.00,Helpers--Extraction Workers
53,37,3,49-3051.00,Motorboat Mechanics and Service Technicians
50,46,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
50,45,3,49-9061.00,Camera and Photographic Equipment Repairers
50,43,3,49-2091.00,Avionics Technicians
50,43,2,47-2011.00,Boilermakers
50,43,3,49-9071.00,"Maintenance and Repair Workers, General"
50,43,3,49-9062.00,Medical Equipment Repairers
50,43,3,51-4061.00,"Model Makers, Metal and Plastic"
50,43,3,53-5031.00,Ship Engineers
50,41,3,49-2097.00,Audiovisual Equipment Installers and Repairers
50,41,2,51-7011.00,Cabinetmakers and Bench Carpenters
50,41,3,49-9092.00,Commercial Divers
50,41,3,47-2111.00,Electricians
50,41,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
50,41,2,49-9031.00,Home Appliance Repairers
50,41,3,49-9063.00,Musical Instrument Repairers and Tuners
50,41,2,49-3092.00,Recreational Vehicle Service Technicians
50,41,3,49-9081.00,Wind Turbine Service Technicians
50,39,3,49-3023.00,Automotive Service Technicians and Mechanics
50,39,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
50,36,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
50,34,2,49-3022.00,Automotive Glass Installers and Repairers
50,34,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
50,32,3,49-3052.00,Motorcycle Mechanics
47,52,4,17-2112.03,Manufacturing Engineers
47,50,4,17-2199.07,Photonics Engineers
47,46,4,15-1244.00,Network and Computer Systems Administrators
47,45,4,17-2072.00,"Electronics Engineers, Except Computer"
47,45,4,29-2011.00,Medical and Clinical Laboratory Technologists
47,43,3,47-2152.04,Solar Thermal Installers and Technicians
47,41,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
47,41,3,17-3027.01,Automotive Engineering Technicians
47,41,2,49-9099.01,Geothermal Technicians
47,41,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
47,39,3,33-2011.00,Firefighters
47,39,2,49-9096.00,Riggers
47,37,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
47,37,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
47,37,2,49-9095.00,Manufactured Building and Mobile Home Installers
47,36,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
47,36,2,49-9044.00,Millwrights
47,36,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
47,32,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
47,32,2,47-5043.00,"Roof Bolters, Mining"
47,30,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
47,30,2,47-3012.00,Helpers--Carpenters
47,30,2,49-9094.00,Locksmiths and Safe Repairers
47,30,2,37-3013.00,Tree Trimmers and Pruners
44,43,3,27-4012.00,Broadcast Technicians
44,43,3,17-3029.08,Photonics Technicians
44,41,4,17-2031.00,Bioengineers and Biomedical Engineers
44,41,3,51-8013.04,Hydroelectric Plant Technicians
44,39,3,19-4031.00,Chemical Technicians
44,39,2,51-9161.00,Computer Numerically Controlled Tool Operators
44,39,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
44,39,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
44,39,3,49-9043.00,"Maintenance Workers, Machinery"
44,39,3,17-3027.00,Mechanical Engineering Technologists and Technicians
44,39,5,29-1151.00,Nurse Anesthetists
44,39,3,51-7032.00,"Patternmakers, Wood"
44,39,2,47-2231.00,Solar Photovoltaic Installers
44,37,3,53-6051.01,Aviation Inspectors
44,37,2,47-2031.00,Carpenters
44,37,3,51-9082.00,Medical Appliance Technicians
44,37,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
44,36,2,49-3021.00,Automotive Body and Related Repairers
44,36,2,53-7031.00,Dredge Operators
44,36,2,53-7041.00,Hoist and Winch Operators
44,36,2,49-9011.00,Mechanical Door Repairers
44,36,2,53-5011.00,Sailors and Marine Oilers
44,34,1,47-5011.00,"Derrick Operators, Oil and Gas"
