Importance,Level,Job Zone,Code,Occupation
91,71,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
85,71,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
81,75,4,11-3131.00,Training and Development Managers
81,71,5,25-1066.00,"Psychology Teachers, Postsecondary"
81,70,5,25-1113.00,"Social Work Teachers, Postsecondary"
81,68,5,25-9031.00,Instructional Coordinators
81,64,4,25-2021.00,"Elementary School Teachers, Except Special Education"
81,64,5,25-1112.00,"Law Teachers, Postsecondary"
81,57,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
78,71,4,13-1151.00,Training and Development Specialists
78,68,4,25-2058.00,"Special Education Teachers, Secondary School"
78,66,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
78,66,4,25-2056.00,"Special Education Teachers, Elementary School"
78,64,5,25-1081.00,"Education Teachers, Postsecondary"
78,63,5,25-1031.00,"Architecture Teachers, Postsecondary"
78,63,5,25-1042.00,"Biological Science Teachers, Postsecondary"
78,61,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
78,61,5,25-1032.00,"Engineering Teachers, Postsecondary"
78,61,5,25-1125.00,"History Teachers, Postsecondary"
78,61,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
78,59,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
78,59,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
78,57,4,27-2022.00,Coaches and Scouts
75,71,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
75,70,5,25-1067.00,"Sociology Teachers, Postsecondary"
75,68,5,25-1011.00,"Business Teachers, Postsecondary"
75,64,5,25-1122.00,"Communications Teachers, Postsecondary"
75,63,5,19-1021.00,Biochemists and Biophysicists
75,63,5,25-1082.00,"Library Science Teachers, Postsecondary"
75,63,5,25-1054.00,"Physics Teachers, Postsecondary"
75,61,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
75,61,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
75,61,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
75,59,4,21-1091.00,Health Education Specialists
75,59,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
75,59,4,25-2057.00,"Special Education Teachers, Middle School"
75,59,5,29-1127.00,Speech-Language Pathologists
75,57,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
75,57,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
75,57,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
75,57,5,25-1052.00,"Chemistry Teachers, Postsecondary"
75,57,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
75,57,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
75,57,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
75,55,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
75,55,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
75,55,3,25-3041.00,Tutors
72,71,5,19-2012.00,Physicists
72,66,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
72,64,5,19-1029.02,Molecular and Cellular Biologists
72,63,5,25-1021.00,"Computer Science Teachers, Postsecondary"
72,61,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
72,61,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
72,61,5,19-3041.00,Sociologists
72,57,5,25-2059.01,Adapted Physical Education Specialists
72,57,5,25-1063.00,"Economics Teachers, Postsecondary"
72,57,4,11-9161.00,Emergency Management Directors
72,57,5,25-1065.00,"Political Science Teachers, Postsecondary"
72,57,3,25-2011.00,"Preschool Teachers, Except Special Education"
72,55,5,19-1029.03,Geneticists
72,55,5,25-1064.00,"Geography Teachers, Postsecondary"
72,55,5,29-1122.00,Occupational Therapists
69,68,5,29-1229.05,Preventive Medicine Physicians
69,59,5,29-1031.00,Dietitians and Nutritionists
69,59,5,25-9021.00,Farm and Home Management Educators
69,57,5,19-2011.00,Astronomers
69,57,5,11-9033.00,"Education Administrators, Postsecondary"
69,57,2,33-1012.00,First-Line Supervisors of Police and Detectives
69,57,5,15-1211.01,Health Informatics Specialists
69,57,4,11-3051.00,Industrial Production Managers
69,57,5,29-1223.00,Psychiatrists
69,57,5,25-2051.00,"Special Education Teachers, Preschool"
69,55,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
69,55,4,21-2021.00,"Directors, Religious Activities and Education"
69,55,4,11-3121.00,Human Resources Managers
69,55,5,21-1023.00,Mental Health and Substance Abuse Social Workers
69,54,5,29-1141.02,Advanced Practice Psychiatric Nurses
69,54,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
69,54,4,29-1129.02,Music Therapists
66,57,5,29-1141.04,Clinical Nurse Specialists
66,57,5,29-1214.00,Emergency Medicine Physicians
66,57,5,19-3032.00,Industrial-Organizational Psychologists
66,55,5,21-2011.00,Clergy
66,55,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
66,55,5,29-1229.06,Sports Medicine Physicians
66,54,5,29-1229.01,Allergists and Immunologists
66,54,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
66,54,3,11-3051.06,Hydroelectric Production Managers
66,54,4,19-1022.00,Microbiologists
66,54,4,11-9151.00,Social and Community Service Managers
66,52,3,25-9043.00,"Teaching Assistants, Special Education"
66,50,3,27-2032.00,Choreographers
66,50,5,19-3033.00,Clinical and Counseling Psychologists
63,61,5,19-3039.02,Neuropsychologists
63,55,2,39-2011.00,Animal Trainers
63,55,5,19-3039.03,Clinical Neuropsychologists
63,55,5,19-1041.00,Epidemiologists
63,55,5,11-9121.00,Natural Sciences Managers
63,55,5,29-1171.00,Nurse Practitioners
63,55,5,19-3034.00,School Psychologists
63,54,5,29-1218.00,Obstetricians and Gynecologists
63,54,5,19-3094.00,Political Scientists
63,52,2,53-1041.00,Aircraft Cargo Handling Supervisors
60,61,5,29-1217.00,Neurologists
60,55,5,19-3091.00,Anthropologists and Archeologists
60,55,5,29-1181.00,Audiologists
60,55,5,15-2041.01,Biostatisticians
60,55,4,13-2061.00,Financial Examiners
60,55,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
60,55,5,29-1241.00,"Ophthalmologists, Except Pediatric"
60,54,4,29-1141.01,Acute Care Nurses
60,54,4,17-2011.00,Aerospace Engineers
60,54,5,11-1011.03,Chief Sustainability Officers
60,54,4,21-1094.00,Community Health Workers
60,54,4,11-9179.01,Fitness and Wellness Coordinators
60,54,5,29-1299.01,Naturopathic Physicians
60,54,4,17-2199.08,Robotics Engineers
60,52,4,11-9081.00,Lodging Managers
60,52,3,11-9179.02,Spa Managers
60,50,4,11-3051.03,Biofuels Production Managers
60,50,5,29-1151.00,Nurse Anesthetists
60,50,4,29-1125.00,Recreational Therapists
60,50,4,11-3013.01,Security Managers
60,50,3,25-3021.00,Self-Enrichment Teachers
60,50,5,25-9044.00,"Teaching Assistants, Postsecondary"
60,50,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
60,46,2,11-9131.00,Postmasters and Mail Superintendents
60,46,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
60,45,2,49-9095.00,Manufactured Building and Mobile Home Installers
56,57,5,29-1229.02,Hospitalists
56,55,4,17-2031.00,Bioengineers and Biomedical Engineers
56,55,4,13-1199.04,Business Continuity Planners
56,55,4,17-2112.03,Manufacturing Engineers
56,55,5,15-2021.00,Mathematicians
56,55,4,11-9111.00,Medical and Health Services Managers
56,55,5,29-1299.02,Orthoptists
56,55,5,29-1224.00,Radiologists
56,55,5,19-1013.00,Soil and Plant Scientists
56,54,5,19-3011.01,Environmental Economists
56,54,4,29-1128.00,Exercise Physiologists
56,54,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
56,52,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
56,52,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
56,52,5,19-3093.00,Historians
56,52,4,29-1141.00,Registered Nurses
56,50,4,11-9199.02,Compliance Managers
56,50,4,11-3021.00,Computer and Information Systems Managers
56,50,5,25-4012.00,Curators
56,50,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
56,50,4,27-2012.05,Media Technical Directors/Managers
56,50,5,29-1023.00,Orthodontists
56,50,5,29-1081.00,Podiatrists
56,50,5,19-3022.00,Survey Researchers
56,48,5,29-1211.00,Anesthesiologists
56,48,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
56,48,2,11-9071.00,Gambling Managers
56,48,3,11-3051.02,Geothermal Production Managers
56,48,5,17-2199.06,Microsystems Engineers
56,48,5,29-9099.01,Midwives
56,48,5,29-1161.00,Nurse Midwives
56,48,4,19-1031.03,Park Naturalists
56,46,5,19-1011.00,Animal Scientists
56,46,3,35-1011.00,Chefs and Head Cooks
56,46,5,29-1215.00,Family Medicine Physicians
56,46,5,17-2112.01,Human Factors Engineers and Ergonomists
56,46,4,11-9199.08,Loss Prevention Managers
