Importance,Level,Job Zone,Code,Occupation
81,75,5,11-1011.00,Chief Executives
75,71,4,11-3031.01,Treasurers and Controllers
69,52,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
66,59,4,11-9021.00,Construction Managers
66,57,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
66,52,4,11-3013.01,Security Managers
66,52,4,11-3131.00,Training and Development Managers
60,57,4,11-3051.00,Industrial Production Managers
60,55,4,13-2031.00,Budget Analysts
56,54,4,11-3111.00,Compensation and Benefits Managers
56,54,3,11-3051.02,Geothermal Production Managers
56,52,4,11-2033.00,Fundraising Managers
56,52,4,11-9111.00,Medical and Health Services Managers
56,52,4,11-3061.00,Purchasing Managers
56,48,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
53,57,4,11-3121.00,Human Resources Managers
53,54,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
53,54,3,11-9179.02,Spa Managers
53,52,4,11-3051.04,Biomass Power Plant Managers
53,52,4,13-1051.00,Cost Estimators
53,52,4,11-3031.00,Financial Managers
53,52,4,15-1299.09,Information Technology Project Managers
53,50,4,11-9199.10,Wind Energy Development Managers
53,46,3,35-1011.00,Chefs and Head Cooks
53,46,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
53,46,5,19-3011.01,Environmental Economists
53,45,5,11-9033.00,"Education Administrators, Postsecondary"
53,39,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
50,52,4,27-2012.00,Producers and Directors
50,52,4,11-2022.00,Sales Managers
50,48,4,11-3021.00,Computer and Information Systems Managers
50,48,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
50,48,4,11-1021.00,General and Operations Managers
50,48,3,11-3051.06,Hydroelectric Production Managers
50,46,4,13-1081.01,Logistics Engineers
50,45,4,11-3051.03,Biofuels Production Managers
50,45,4,13-1131.00,Fundraisers
50,45,4,13-1121.00,"Meeting, Convention, and Event Planners"
50,43,5,29-1021.00,"Dentists, General"
50,43,2,11-9051.00,Food Service Managers
50,43,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
47,54,4,11-2021.00,Marketing Managers
47,54,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
47,52,5,25-4012.00,Curators
47,52,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
47,52,4,17-2112.03,Manufacturing Engineers
47,52,3,11-9199.09,Wind Energy Operations Managers
47,50,4,11-9081.00,Lodging Managers
47,48,4,17-2051.00,Civil Engineers
47,48,4,13-1199.06,Online Merchants
47,46,5,11-9041.00,Architectural and Engineering Managers
47,45,5,11-1011.03,Chief Sustainability Officers
47,43,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
47,43,5,13-2099.01,Financial Quantitative Analysts
47,43,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
47,43,4,17-1012.00,Landscape Architects
47,43,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
47,43,4,11-3071.04,Supply Chain Managers
47,41,3,11-3012.00,Administrative Services Managers
47,41,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
47,41,4,13-2052.00,Personal Financial Advisors
47,36,4,19-1032.00,Foresters
