Importance,Level,Job Zone,Code,Occupation
81,75,5,11-1011.00,Chief Executives
81,68,4,11-3121.00,Human Resources Managers
78,68,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
78,59,4,11-9021.00,Construction Managers
75,59,4,11-9111.00,Medical and Health Services Managers
75,57,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
75,57,2,33-1012.00,First-Line Supervisors of Police and Detectives
75,57,2,11-9071.00,Gambling Managers
75,57,4,11-9081.00,Lodging Managers
75,57,4,11-3061.00,Purchasing Managers
75,55,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
75,54,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
72,63,4,27-2022.00,Coaches and Scouts
72,63,4,11-9151.00,Social and Community Service Managers
72,61,4,11-3051.00,Industrial Production Managers
72,57,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
72,57,4,15-1299.09,Information Technology Project Managers
72,57,4,11-2022.00,Sales Managers
72,55,3,35-1011.00,Chefs and Head Cooks
72,55,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
72,55,2,11-9051.00,Food Service Managers
72,55,3,11-9179.02,Spa Managers
72,54,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
72,54,4,27-2012.03,Media Programming Directors
72,52,4,11-3051.03,Biofuels Production Managers
72,50,2,11-9131.00,Postmasters and Mail Superintendents
69,61,5,29-1229.05,Preventive Medicine Physicians
69,59,4,11-3051.04,Biomass Power Plant Managers
69,57,5,11-9033.00,"Education Administrators, Postsecondary"
69,57,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
69,57,3,33-1011.00,First-Line Supervisors of Correctional Officers
69,57,4,11-1021.00,General and Operations Managers
69,57,3,11-9199.09,Wind Energy Operations Managers
69,55,3,39-1022.00,First-Line Supervisors of Personal Service Workers
69,55,3,47-1011.03,Solar Energy Installation Managers
69,54,2,53-1041.00,Aircraft Cargo Handling Supervisors
69,54,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
69,54,2,33-1091.00,First-Line Supervisors of Security Workers
69,54,3,11-3051.06,Hydroelectric Production Managers
69,54,4,11-3013.01,Security Managers
69,50,2,53-1042.01,Recycling Coordinators
66,66,5,11-9121.00,Natural Sciences Managers
66,57,4,11-3031.00,Financial Managers
66,57,4,11-9199.08,Loss Prevention Managers
66,57,4,27-2012.00,Producers and Directors
66,55,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
66,55,3,11-3051.02,Geothermal Production Managers
66,54,4,11-3111.00,Compensation and Benefits Managers
66,54,4,11-3021.00,Computer and Information Systems Managers
66,54,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
66,50,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
66,50,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
63,57,4,11-3131.00,Training and Development Managers
63,54,5,29-1021.00,"Dentists, General"
63,54,4,11-9161.00,Emergency Management Directors
63,54,4,13-2061.00,Financial Examiners
63,52,3,11-3013.00,Facilities Managers
63,52,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
63,50,4,11-9121.01,Clinical Research Coordinators
63,50,3,11-9171.00,Funeral Home Managers
63,48,4,11-9179.01,Fitness and Wellness Coordinators
63,46,3,27-1022.00,Fashion Designers
60,57,5,19-3032.00,Industrial-Organizational Psychologists
60,55,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
60,55,4,11-2021.00,Marketing Managers
60,54,3,11-3012.00,Administrative Services Managers
60,54,5,21-2011.00,Clergy
60,50,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
60,48,5,29-1051.00,Pharmacists
60,48,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
60,48,4,11-9199.10,Wind Energy Development Managers
60,45,2,49-9095.00,Manufactured Building and Mobile Home Installers
56,55,5,11-9041.00,Architectural and Engineering Managers
56,55,4,11-3071.04,Supply Chain Managers
56,55,4,17-2051.01,Transportation Engineers
56,54,4,13-1081.00,Logisticians
56,52,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
56,52,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
56,52,4,17-2051.02,Water/Wastewater Engineers
56,50,4,11-3051.01,Quality Control Systems Managers
56,48,2,13-1074.00,Farm Labor Contractors
56,48,4,13-1121.00,"Meeting, Convention, and Event Planners"
56,43,4,21-1094.00,Community Health Workers
53,57,5,11-1011.03,Chief Sustainability Officers
53,55,4,11-2011.00,Advertising and Promotions Managers
53,54,4,11-3031.01,Treasurers and Controllers
53,52,5,29-1222.00,"Physicians, Pathologists"
53,52,4,17-2199.08,Robotics Engineers
53,50,5,19-1041.00,Epidemiologists
53,50,4,19-1032.00,Foresters
53,48,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
53,48,3,27-2032.00,Choreographers
53,48,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
53,48,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
53,48,5,25-9031.00,Instructional Coordinators
53,48,4,39-9032.00,Recreation Workers
53,48,5,29-1229.06,Sports Medicine Physicians
53,48,4,13-1151.00,Training and Development Specialists
53,46,4,13-1199.04,Business Continuity Planners
53,46,5,29-1023.00,Orthodontists
53,46,5,29-1229.03,Urologists
53,45,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
53,45,5,19-1029.03,Geneticists
53,45,5,21-1022.00,Healthcare Social Workers
53,45,4,27-2041.00,Music Directors and Composers
53,45,5,29-1241.00,"Ophthalmologists, Except Pediatric"
53,45,5,29-1041.00,Optometrists
53,45,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
53,45,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
