Importance,Level,Job Zone,Code,Occupation
81,57,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
78,61,4,41-9031.00,Sales Engineers
78,52,2,41-9041.00,Telemarketers
75,71,5,23-1011.00,Lawyers
75,68,5,11-1011.00,Chief Executives
75,63,4,13-1131.00,Fundraisers
75,59,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
75,57,4,41-3011.00,Advertising Sales Agents
75,57,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
75,50,4,11-2033.00,Fundraising Managers
72,63,4,13-1075.00,Labor Relations Specialists
72,59,4,27-2022.00,Coaches and Scouts
72,57,5,11-1011.03,Chief Sustainability Officers
72,57,5,21-2011.00,Clergy
72,57,2,33-1012.00,First-Line Supervisors of Police and Detectives
72,57,4,11-9111.00,Medical and Health Services Managers
72,57,2,41-2031.00,Retail Salespersons
72,57,4,11-2022.00,Sales Managers
72,54,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
69,63,4,11-2021.00,Marketing Managers
69,61,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
69,59,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
69,59,4,27-3031.00,Public Relations Specialists
69,57,4,11-9081.00,Lodging Managers
69,57,5,21-1023.00,Mental Health and Substance Abuse Social Workers
69,57,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
69,57,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
69,57,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
69,55,4,21-1021.00,"Child, Family, and School Social Workers"
69,55,5,29-1021.00,"Dentists, General"
69,55,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
69,55,4,11-3121.00,Human Resources Managers
69,55,5,19-3032.00,Industrial-Organizational Psychologists
69,55,4,11-9199.08,Loss Prevention Managers
69,54,3,11-9179.02,Spa Managers
69,48,2,39-7012.00,Travel Guides
69,46,2,41-2022.00,Parts Salespersons
66,59,4,11-3061.00,Purchasing Managers
66,59,3,41-9022.00,Real Estate Sales Agents
66,57,4,11-9161.00,Emergency Management Directors
66,57,5,29-1214.00,Emergency Medicine Physicians
66,57,5,29-1229.05,Preventive Medicine Physicians
66,55,5,29-1141.04,Clinical Nurse Specialists
66,55,4,41-3021.00,Insurance Sales Agents
66,55,5,21-1014.00,Mental Health Counselors
66,55,3,41-4011.07,Solar Sales Representatives and Assessors
66,54,5,29-1141.02,Advanced Practice Psychiatric Nurses
66,54,4,11-9199.02,Compliance Managers
66,54,5,11-9033.00,"Education Administrators, Postsecondary"
66,54,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
66,54,4,11-1021.00,General and Operations Managers
66,54,5,21-1013.00,Marriage and Family Therapists
66,54,5,29-1241.00,"Ophthalmologists, Except Pediatric"
66,54,3,33-3051.00,Police and Sheriff's Patrol Officers
66,54,4,11-3131.00,Training and Development Managers
66,54,3,11-9199.09,Wind Energy Operations Managers
66,52,3,27-1022.00,Fashion Designers
66,52,3,29-2099.08,Patient Representatives
66,52,4,11-3071.04,Supply Chain Managers
66,50,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
66,50,3,41-3041.00,Travel Agents
66,45,2,39-9011.01,Nannies
63,57,5,29-1223.00,Psychiatrists
63,57,4,41-9021.00,Real Estate Brokers
