Importance,Level,Job Zone,Code,Occupation
94,70,4,15-1251.00,Computer Programmers
78,61,3,15-1254.00,Web Developers
75,55,4,15-1255.01,Video Game Designers
75,Not available,4,15-1252.00,Software Developers
72,52,4,15-1241.00,Computer Network Architects
69,54,4,15-1243.01,Data Warehousing Specialists
69,Not available,2,51-9162.00,Computer Numerically Controlled Tool Programmers
66,64,5,15-1221.00,Computer and Information Research Scientists
66,55,4,15-1244.00,Network and Computer Systems Administrators
66,54,4,15-1253.00,Software Quality Assurance Analysts and Testers
63,61,3,15-1299.08,Computer Systems Engineers/Architects
60,59,4,15-1243.00,Database Architects
60,57,5,15-2041.01,Biostatisticians
60,55,4,15-1242.00,Database Administrators
60,55,5,19-2012.00,Physicists
56,57,3,15-1211.00,Computer Systems Analysts
56,52,4,15-2051.02,Clinical Data Managers
53,55,4,17-2199.08,Robotics Engineers
53,48,4,17-2031.00,Bioengineers and Biomedical Engineers
53,48,4,15-1299.05,Information Security Engineers
53,43,4,15-2099.01,Bioinformatics Technicians
53,41,4,15-1299.01,Web Administrators
50,54,5,19-1029.04,Biologists
50,50,4,43-9111.00,Statistical Assistants
50,45,5,25-1021.00,"Computer Science Teachers, Postsecondary"
50,45,5,15-2041.00,Statisticians
47,45,5,15-1211.01,Health Informatics Specialists
47,39,4,19-2099.01,Remote Sensing Scientists and Technologists
47,39,3,17-3024.01,Robotics Technicians
47,Not available,3,15-1299.02,Geographic Information Systems Technologists and Technicians
44,46,4,19-4099.03,Remote Sensing Technicians
44,41,4,17-2141.02,Automotive Engineers
44,41,4,17-2072.00,"Electronics Engineers, Except Computer"
44,41,5,19-3032.00,Industrial-Organizational Psychologists
44,41,5,19-3022.00,Survey Researchers
44,39,4,13-1081.01,Logistics Engineers
44,37,4,11-3021.00,Computer and Information Systems Managers
44,30,4,13-1161.01,Search Marketing Strategists
41,43,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
41,39,5,15-2031.00,Operations Research Analysts
41,39,4,19-4061.00,Social Science Research Assistants
41,37,3,43-9031.00,Desktop Publishers
41,37,5,13-2099.01,Financial Quantitative Analysts
41,36,5,17-2199.06,Microsystems Engineers
41,32,4,15-1212.00,Information Security Analysts
38,39,4,17-2061.00,Computer Hardware Engineers
38,39,5,15-2021.00,Mathematicians
38,37,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
38,36,4,15-2051.01,Business Intelligence Analysts
38,34,4,17-2141.01,Fuel Cell Engineers
38,34,4,17-2199.05,Mechatronics Engineers
38,27,4,15-1299.03,Document Management Specialists
38,Not available,4,17-2072.01,Radio Frequency Identification Device Specialists
35,36,4,17-1022.01,Geodetic Surveyors
35,32,4,17-2141.00,Mechanical Engineers
35,29,3,15-1241.01,Telecommunications Engineering Specialists
35,27,3,19-4012.01,Precision Agriculture Technicians
35,25,4,13-1199.06,Online Merchants
35,23,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
35,Not available,3,17-3011.00,Architectural and Civil Drafters
35,Not available,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
31,41,5,17-2199.09,Nanosystems Engineers
31,39,5,19-1021.00,Biochemists and Biophysicists
31,39,4,17-2041.00,Chemical Engineers
31,39,4,17-2199.07,Photonics Engineers
31,34,5,17-2112.01,Human Factors Engineers and Ergonomists
31,32,3,17-3013.00,Mechanical Drafters
31,30,4,19-3099.01,Transportation Planners
31,29,5,19-2011.00,Astronomers
31,29,3,15-1232.00,Computer User Support Specialists
31,29,4,17-2199.11,Solar Energy Systems Engineers
31,27,5,19-2041.02,Environmental Restoration Planners
31,23,4,15-1299.09,Information Technology Project Managers
31,23,4,17-2121.00,Marine Engineers and Naval Architects
31,23,4,13-1199.07,Security Management Specialists
31,18,3,17-3031.00,Surveying and Mapping Technicians
31,Not available,4,15-1231.00,Computer Network Support Specialists
28,37,5,19-2043.00,Hydrologists
28,36,4,15-2011.00,Actuaries
28,36,5,19-1029.02,Molecular and Cellular Biologists
28,36,4,17-2051.02,Water/Wastewater Engineers
28,30,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
28,29,2,51-9161.00,Computer Numerically Controlled Tool Operators
28,29,4,17-3025.00,Environmental Engineering Technologists and Technicians
28,29,4,13-1161.00,Market Research Analysts and Marketing Specialists
28,29,3,17-3029.08,Photonics Technicians
28,29,5,19-1013.00,Soil and Plant Scientists
28,27,3,17-3027.01,Automotive Engineering Technicians
28,27,3,27-4012.00,Broadcast Technicians
28,27,4,19-2031.00,Chemists
28,27,5,19-3011.00,Economists
28,23,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
28,23,4,11-3051.03,Biofuels Production Managers
28,23,3,17-3012.00,Electrical and Electronics Drafters
28,23,3,19-4051.00,Nuclear Technicians
28,23,4,27-1014.00,Special Effects Artists and Animators
