Importance,Level,Job Zone,Code,Occupation
94,73,5,19-1021.00,Biochemists and Biophysicists
94,71,5,19-1029.02,Molecular and Cellular Biologists
91,82,5,19-2012.00,Physicists
91,71,5,19-1029.04,Biologists
91,71,4,19-1022.00,Microbiologists
81,73,5,19-2011.00,Astronomers
78,73,4,17-2041.00,Chemical Engineers
78,73,4,19-2031.00,Chemists
78,71,5,19-1041.00,Epidemiologists
78,71,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
78,70,5,11-9121.00,Natural Sciences Managers
78,66,5,25-1054.00,"Physics Teachers, Postsecondary"
78,63,5,19-1029.03,Geneticists
78,63,4,17-2161.00,Nuclear Engineers
78,59,3,19-4031.00,Chemical Technicians
75,73,4,17-2011.00,Aerospace Engineers
75,70,4,19-2021.00,Atmospheric and Space Scientists
75,70,4,19-2032.00,Materials Scientists
75,70,5,19-1013.00,Soil and Plant Scientists
75,68,4,17-2131.00,Materials Engineers
75,68,5,17-2199.09,Nanosystems Engineers
75,66,5,15-2041.01,Biostatisticians
75,66,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
75,64,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
75,64,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
75,63,4,29-2011.00,Medical and Clinical Laboratory Technologists
75,61,5,25-1052.00,"Chemistry Teachers, Postsecondary"
75,59,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
75,59,5,29-1221.00,"Pediatricians, General"
75,57,5,19-1011.00,Animal Scientists
75,57,5,25-1042.00,"Biological Science Teachers, Postsecondary"
75,57,5,29-1216.00,General Internal Medicine Physicians
75,57,5,29-1222.00,"Physicians, Pathologists"
75,55,5,29-1211.00,Anesthesiologists
72,66,4,17-2031.00,Bioengineers and Biomedical Engineers
72,63,5,19-2043.00,Hydrologists
72,59,5,29-1223.00,Psychiatrists
72,59,5,29-1131.00,Veterinarians
72,57,5,29-1215.00,Family Medicine Physicians
72,57,4,19-2099.01,Remote Sensing Scientists and Technologists
72,55,5,29-1229.01,Allergists and Immunologists
72,55,4,19-1012.00,Food Scientists and Technologists
72,55,5,29-1151.00,Nurse Anesthetists
72,55,4,19-1023.00,Zoologists and Wildlife Biologists
72,54,5,29-1241.00,"Ophthalmologists, Except Pediatric"
69,66,5,29-1229.05,Preventive Medicine Physicians
69,64,4,17-2141.00,Mechanical Engineers
69,63,4,17-2112.02,Validation Engineers
69,61,5,29-1218.00,Obstetricians and Gynecologists
69,59,5,29-1217.00,Neurologists
69,57,4,17-2051.00,Civil Engineers
69,57,4,17-2141.01,Fuel Cell Engineers
69,55,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
69,55,5,19-3032.00,Industrial-Organizational Psychologists
69,55,5,29-1171.00,Nurse Practitioners
69,55,5,29-1041.00,Optometrists
69,54,5,29-1021.00,"Dentists, General"
69,54,5,29-1224.00,Radiologists
69,52,4,19-4021.00,Biological Technicians
69,Not available,5,19-1029.01,Bioinformatics Scientists
66,64,5,15-2021.00,Mathematicians
66,63,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
66,59,5,19-2041.03,Industrial Ecologists
66,57,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
66,55,5,17-2199.06,Microsystems Engineers
66,55,5,19-3039.02,Neuropsychologists
66,55,5,29-1071.00,Physician Assistants
66,55,5,29-1229.03,Urologists
66,54,5,29-1213.00,Dermatologists
66,54,4,17-2111.02,Fire-Prevention and Protection Engineers
66,54,5,29-1299.02,Orthoptists
63,59,4,17-2121.00,Marine Engineers and Naval Architects
63,57,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
63,57,4,17-2199.07,Photonics Engineers
63,55,5,19-2041.02,Environmental Restoration Planners
63,55,5,29-1022.00,Oral and Maxillofacial Surgeons
63,55,5,15-2041.00,Statisticians
63,54,5,29-1081.00,Podiatrists
63,52,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
63,52,5,25-1032.00,"Engineering Teachers, Postsecondary"
63,50,4,19-1031.00,Conservation Scientists
63,Not available,4,17-2051.02,Water/Wastewater Engineers
60,59,5,25-1066.00,"Psychology Teachers, Postsecondary"
60,57,4,17-2081.00,Environmental Engineers
60,57,4,17-2171.00,Petroleum Engineers
60,54,5,29-1011.00,Chiropractors
60,54,4,17-3025.00,Environmental Engineering Technologists and Technicians
60,54,5,29-1051.00,Pharmacists
60,52,4,19-3092.00,Geographers
60,50,5,29-1229.02,Hospitalists
60,50,4,29-2036.00,Medical Dosimetrists
60,50,5,29-1023.00,Orthodontists
60,48,4,17-2021.00,Agricultural Engineers
60,48,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
56,59,4,17-2141.02,Automotive Engineers
56,57,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
56,55,4,17-2199.11,Solar Energy Systems Engineers
56,54,3,13-1041.06,Coroners
56,54,4,29-2011.01,Cytogenetic Technologists
56,54,4,17-2199.10,Wind Energy Engineers
56,52,5,29-1031.00,Dietitians and Nutritionists
56,50,3,19-4092.00,Forensic Science Technicians
56,50,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
56,50,3,29-2033.00,Nuclear Medicine Technologists
56,48,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
56,48,5,17-2112.01,Human Factors Engineers and Ergonomists
56,48,3,29-2012.00,Medical and Clinical Laboratory Technicians
56,48,4,19-4061.00,Social Science Research Assistants
56,46,3,19-4013.00,Food Science Technicians
56,46,3,11-3051.06,Hydroelectric Production Managers
56,46,5,15-2031.00,Operations Research Analysts
56,45,5,29-9092.00,Genetic Counselors
56,41,3,29-2032.00,Diagnostic Medical Sonographers
56,Not available,5,29-1229.06,Sports Medicine Physicians
53,54,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
53,54,4,17-2112.03,Manufacturing Engineers
53,54,4,17-2199.08,Robotics Engineers
53,50,4,17-1022.01,Geodetic Surveyors
53,50,5,25-1064.00,"Geography Teachers, Postsecondary"
53,48,4,15-2099.01,Bioinformatics Technicians
53,48,5,15-1221.00,Computer and Information Research Scientists
53,48,5,19-3041.00,Sociologists
53,46,4,17-2199.05,Mechatronics Engineers
53,45,5,29-1299.01,Naturopathic Physicians
53,45,3,19-4051.02,Nuclear Monitoring Technicians
53,39,3,29-2012.01,Histology Technicians
53,Not available,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
50,54,5,29-1141.04,Clinical Nurse Specialists
50,52,4,17-2071.00,Electrical Engineers
50,50,4,11-3051.03,Biofuels Production Managers
50,50,3,29-1126.00,Respiratory Therapists
50,46,5,29-1181.00,Audiologists
50,46,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
50,46,4,17-2072.00,"Electronics Engineers, Except Computer"
50,46,4,13-1041.01,Environmental Compliance Inspectors
50,46,3,17-3027.00,Mechanical Engineering Technologists and Technicians
50,46,4,17-2051.01,Transportation Engineers
50,46,4,11-9121.02,Water Resource Specialists
50,45,3,15-1299.08,Computer Systems Engineers/Architects
50,45,4,29-1141.03,Critical Care Nurses
50,43,4,29-1141.01,Acute Care Nurses
50,43,5,19-3091.00,Anthropologists and Archeologists
50,43,4,11-9121.01,Clinical Research Coordinators
50,43,2,17-3029.01,Non-Destructive Testing Specialists
50,43,5,29-1024.00,Prosthodontists
50,41,5,29-1071.01,Anesthesiologist Assistants
50,41,2,45-2021.00,Animal Breeders
50,41,3,29-2031.00,Cardiovascular Technologists and Technicians
50,36,4,29-2011.04,Histotechnologists
50,Not available,5,29-1214.00,Emergency Medicine Physicians
47,50,3,53-6051.01,Aviation Inspectors
47,48,4,19-1031.02,Range Managers
47,46,4,17-2061.00,Computer Hardware Engineers
47,46,5,29-1161.00,Nurse Midwives
47,46,5,29-2091.00,Orthotists and Prosthetists
47,45,3,17-3026.00,Industrial Engineering Technologists and Technicians
47,43,5,17-1011.00,"Architects, Except Landscape and Naval"
47,43,4,29-1128.00,Exercise Physiologists
