Importance,Level,Job Zone,Code,Occupation,Skill,Importance_norm,Level_norm,SkillDemand,Collated_Score
81.0,68.0,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",active_learning,0.81,0.7906976744186046,0.8022790697674418,92.0
78.0,75.0,5,19-1021.00,Biochemists and Biophysicists,active_learning,0.78,0.872093023255814,0.8168372093023255,92.0
78.0,71.0,5,19-1042.00,"Medical Scientists, Except Epidemiologists",active_learning,0.78,0.8255813953488372,0.7982325581395349,92.0
78.0,70.0,5,29-1229.02,Hospitalists,active_learning,0.78,0.813953488372093,0.7935813953488372,92.0
78.0,61.0,5,29-1218.00,Obstetricians and Gynecologists,active_learning,0.78,0.7093023255813954,0.7517209302325581,92.0
78.0,59.0,5,19-3094.00,Political Scientists,active_learning,0.78,0.686046511627907,0.7424186046511627,92.0
75.0,79.0,5,19-2012.00,Physicists,active_learning,0.75,0.9186046511627908,0.8174418604651162,92.0
75.0,73.0,5,15-2021.00,Mathematicians,active_learning,0.75,0.8488372093023255,0.7895348837209302,92.0
75.0,70.0,5,19-2011.00,Astronomers,active_learning,0.75,0.813953488372093,0.7755813953488372,92.0
75.0,70.0,5,15-2041.01,Biostatisticians,active_learning,0.75,0.813953488372093,0.7755813953488372,92.0
75.0,70.0,5,29-1081.00,Podiatrists,active_learning,0.75,0.813953488372093,0.7755813953488372,92.0
75.0,70.0,5,29-1229.05,Preventive Medicine Physicians,active_learning,0.75,0.813953488372093,0.7755813953488372,92.0
75.0,70.0,5,25-1113.00,"Social Work Teachers, Postsecondary",active_learning,0.75,0.813953488372093,0.7755813953488372,92.0
75.0,68.0,5,19-1041.00,Epidemiologists,active_learning,0.75,0.7906976744186046,0.7662790697674418,92.0
75.0,68.0,5,25-1112.00,"Law Teachers, Postsecondary",active_learning,0.75,0.7906976744186046,0.7662790697674418,92.0
75.0,68.0,5,29-1222.00,"Physicians, Pathologists",active_learning,0.75,0.7906976744186046,0.7662790697674418,92.0
75.0,66.0,5,29-1229.01,Allergists and Immunologists,active_learning,0.75,0.7674418604651163,0.7569767441860464,92.0
75.0,66.0,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates",active_learning,0.75,0.7674418604651163,0.7569767441860464,92.0
75.0,64.0,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",active_learning,0.75,0.7441860465116279,0.7476744186046511,92.0
75.0,64.0,5,25-1042.00,"Biological Science Teachers, Postsecondary",active_learning,0.75,0.7441860465116279,0.7476744186046511,92.0
75.0,64.0,5,19-1013.00,Soil and Plant Scientists,active_learning,0.75,0.7441860465116279,0.7476744186046511,92.0
75.0,63.0,5,29-1181.00,Audiologists,active_learning,0.75,0.7325581395348837,0.7430232558139535,92.0
75.0,63.0,4,13-1199.04,Business Continuity Planners,active_learning,0.75,0.7325581395348837,0.7430232558139535,92.0
75.0,63.0,5,29-1214.00,Emergency Medicine Physicians,active_learning,0.75,0.7325581395348837,0.7430232558139535,92.0
75.0,63.0,5,25-1082.00,"Library Science Teachers, Postsecondary",active_learning,0.75,0.7325581395348837,0.7430232558139535,92.0
75.0,63.0,5,25-1054.00,"Physics Teachers, Postsecondary",active_learning,0.75,0.7325581395348837,0.7430232558139535,92.0
75.0,63.0,5,29-1223.00,Psychiatrists,active_learning,0.75,0.7325581395348837,0.7430232558139535,92.0
75.0,63.0,5,29-1131.00,Veterinarians,active_learning,0.75,0.7325581395348837,0.7430232558139535,92.0
75.0,61.0,4,29-1141.01,Acute Care Nurses,active_learning,0.75,0.7093023255813954,0.7337209302325581,92.0
75.0,61.0,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",active_learning,0.75,0.7093023255813954,0.7337209302325581,92.0
