Importance,Level,Job Zone,Code,Occupation,Skill
81,68,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Active_Learning
78,75,5,19-1021.00,Biochemists and Biophysicists,Active_Learning
78,71,5,19-1042.00,"Medical Scientists, Except Epidemiologists",Active_Learning
78,70,5,29-1229.02,Hospitalists,Active_Learning
78,61,5,29-1218.00,Obstetricians and Gynecologists,Active_Learning
78,59,5,19-3094.00,Political Scientists,Active_Learning
75,79,5,19-2012.00,Physicists,Active_Learning
75,73,5,15-2021.00,Mathematicians,Active_Learning
75,70,5,19-2011.00,Astronomers,Active_Learning
75,70,5,15-2041.01,Biostatisticians,Active_Learning
75,70,5,29-1081.00,Podiatrists,Active_Learning
75,70,5,29-1229.05,Preventive Medicine Physicians,Active_Learning
75,70,5,25-1113.00,"Social Work Teachers, Postsecondary",Active_Learning
75,68,5,19-1041.00,Epidemiologists,Active_Learning
75,68,5,25-1112.00,"Law Teachers, Postsecondary",Active_Learning
75,68,5,29-1222.00,"Physicians, Pathologists",Active_Learning
75,66,5,29-1229.01,Allergists and Immunologists,Active_Learning
75,66,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates",Active_Learning
75,64,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Active_Learning
75,64,5,25-1042.00,"Biological Science Teachers, Postsecondary",Active_Learning
75,64,5,19-1013.00,Soil and Plant Scientists,Active_Learning
75,63,5,29-1181.00,Audiologists,Active_Learning
75,63,4,13-1199.04,Business Continuity Planners,Active_Learning
75,63,5,29-1214.00,Emergency Medicine Physicians,Active_Learning
75,63,5,25-1082.00,"Library Science Teachers, Postsecondary",Active_Learning
75,63,5,25-1054.00,"Physics Teachers, Postsecondary",Active_Learning
75,63,5,29-1223.00,Psychiatrists,Active_Learning
75,63,5,29-1131.00,Veterinarians,Active_Learning
75,61,4,29-1141.01,Acute Care Nurses,Active_Learning
75,61,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Active_Learning
75,61,5,29-1141.04,Clinical Nurse Specialists,Active_Learning
75,61,5,25-1122.00,"Communications Teachers, Postsecondary",Active_Learning
75,61,5,25-1081.00,"Education Teachers, Postsecondary",Active_Learning
75,61,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Active_Learning
75,61,5,29-1241.00,"Ophthalmologists, Except Pediatric",Active_Learning
75,61,5,19-3041.00,Sociologists,Active_Learning
75,59,4,19-2021.00,Atmospheric and Space Scientists,Active_Learning
75,59,5,11-9032.00,"Education Administrators, Kindergarten through Secondary",Active_Learning
75,59,4,19-1012.00,Food Scientists and Technologists,Active_Learning
75,59,5,19-1029.03,Geneticists,Active_Learning
75,59,4,11-3121.00,Human Resources Managers,Active_Learning
75,59,4,13-1081.01,Logistics Engineers,Active_Learning
75,59,5,29-1161.00,Nurse Midwives,Active_Learning
75,59,5,29-1171.00,Nurse Practitioners,Active_Learning
75,59,5,29-1221.00,"Pediatricians, General",Active_Learning
75,57,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Active_Learning
75,57,5,25-1052.00,"Chemistry Teachers, Postsecondary",Active_Learning
75,57,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Active_Learning
75,57,5,29-1215.00,Family Medicine Physicians,Active_Learning
75,57,5,25-1071.00,"Health Specialties Teachers, Postsecondary",Active_Learning
75,57,5,19-3093.00,Historians,Active_Learning
75,57,5,29-1151.00,Nurse Anesthetists,Active_Learning
75,57,5,25-1065.00,"Political Science Teachers, Postsecondary",Active_Learning
75,57,4,25-2057.00,"Special Education Teachers, Middle School",Active_Learning
75,55,5,25-2059.01,Adapted Physical Education Specialists,Active_Learning
72,70,5,17-2199.09,Nanosystems Engineers,Active_Learning
72,68,5,19-1029.04,Biologists,Active_Learning
72,68,4,17-2041.00,Chemical Engineers,Active_Learning
72,66,5,19-1029.02,Molecular and Cellular Biologists,Active_Learning
72,66,5,25-1066.00,"Psychology Teachers, Postsecondary",Active_Learning
72,64,5,25-1031.00,"Architecture Teachers, Postsecondary",Active_Learning
72,64,5,29-1021.00,"Dentists, General",Active_Learning
72,64,4,19-1022.00,Microbiologists,Active_Learning
72,64,5,29-1022.00,Oral and Maxillofacial Surgeons,Active_Learning
72,63,5,25-1011.00,"Business Teachers, Postsecondary",Active_Learning
72,63,5,19-3039.02,Neuropsychologists,Active_Learning
72,63,5,29-1229.06,Sports Medicine Physicians,Active_Learning
